"","season","statarea","tot_legal_year","tot_all_year","legal_prop"
"1",2006,665500,48,132,0.363636363636364
"2",2006,665600,59,217,0.271889400921659
"3",2006,675530,48,148,0.324324324324324
"4",2006,675630,161,274,0.587591240875912
"5",2006,685600,108,385,0.280519480519481
"6",2006,685630,51,86,0.593023255813954
"7",2006,695631,3331,12001,0.27756020331639
"8",2006,705600,637,1324,0.481117824773414
"9",2006,705630,9727,15336,0.634259259259259
"10",2006,705701,164,324,0.506172839506173
"11",2006,705730,105,106,0.990566037735849
"12",2006,705830,0,1,0
"13",2006,715600,569,569,1
"14",2006,715630,99979,111589,0.895957486849062
"15",2006,715700,63068,67894,0.928918608419006
"16",2006,715730,41615,43289,0.961329668045
"17",2006,725600,236,284,0.830985915492958
"18",2006,725630,42536,44806,0.949337142347007
"19",2006,725700,35401,36595,0.967372591884137
"20",2006,725730,70488,74138,0.950767487658151
"21",2006,725800,4301,4672,0.920590753424658
"22",2006,725830,894,974,0.917864476386037
"23",2006,725900,557,564,0.987588652482269
"24",2006,735630,20,27,0.740740740740741
"25",2006,735700,1008,1031,0.977691561590689
"26",2006,735730,5684,6287,0.904087800222682
"27",2006,735800,44293,46179,0.959158925052513
"28",2006,735830,54271,56465,0.961144071548747
"29",2006,735900,21015,23175,0.906796116504854
"30",2006,745800,435,453,0.960264900662252
"31",2006,745830,73439,76237,0.963298660755276
"32",2006,745900,73332,74833,0.97994200419601
"33",2006,745930,739,801,0.922596754057428
"34",2006,755830,0,0,NA
"35",2006,755900,2903,3026,0.959352280237938
"36",2006,755930,1379,1419,0.971811134601832
"37",2006,765830,0,7,0
"38",2007,665530,14,94,0.148936170212766
"39",2007,675530,12,102,0.117647058823529
"40",2007,695631,4377,23134,0.189202040287023
"41",2007,705630,42,156,0.269230769230769
"42",2007,705701,178,249,0.714859437751004
"43",2007,715630,94170,103891,0.906430778411989
"44",2007,715700,113702,117755,0.965581079359688
"45",2007,715730,8901,9058,0.982667255464783
"46",2007,715800,12665,12964,0.97693613082382
"47",2007,725630,48355,50554,0.956501958302014
"48",2007,725700,150795,154033,0.978978530574617
"49",2007,725730,44517,45749,0.973070449627314
"50",2007,725800,10326,10632,0.971218961625282
"51",2007,735700,11589,12249,0.946118050453098
"52",2007,735730,17272,17699,0.975874343183231
"53",2007,735800,6109,6216,0.982786357786358
"54",2007,735830,1076,1144,0.940559440559441
"55",2007,745830,34387,34513,0.996349201750065
"56",2008,665430,114,1030,0.110679611650485
"57",2008,665500,1729,8833,0.195743235593796
"58",2008,665530,281,2405,0.116839916839917
"59",2008,675500,3,22,0.136363636363636
"60",2008,675530,56,331,0.169184290030211
"61",2008,685530,38,272,0.139705882352941
"62",2008,685630,813,902,0.901330376940133
"63",2008,695600,205,541,0.378927911275416
"64",2008,695631,315,2128,0.148026315789474
