"","season","statarea","tot_legal_year","tot_all_year","legal_prop"
"65",2008,705600,11160,12824,0.87024329382408
"66",2008,705630,9615,12370,0.777283751010509
"67",2008,705701,68296,70735,0.965519191347989
"68",2008,715600,16485,17140,0.961785297549592
"69",2008,715630,239631,254414,0.941893920932024
"70",2008,715700,168584,177639,0.949025833291113
"71",2008,715730,516,575,0.897391304347826
"72",2008,725630,109836,114756,0.957126424762104
"73",2008,725700,48426,49475,0.978797372410308
"74",2008,725730,43871,44456,0.986840921360446
"75",2008,735630,9,44,0.204545454545455
"76",2008,735700,3975,4156,0.956448508180943
"77",2008,735730,7325,7420,0.987196765498652
"78",2008,745830,94192,94501,0.996730193331288
"79",2008,755830,25093,25236,0.994333491837058
"80",2009,665530,217,268,0.809701492537313
"81",2009,675500,872,1158,0.753022452504318
"82",2009,675530,6499,7520,0.864228723404255
"83",2009,675600,28599,32221,0.887588839576674
"84",2009,685600,29354,32802,0.89488445826474
"85",2009,685630,2778,3485,0.79713055954089
"86",2009,705600,1,99,0.0101010101010101
"87",2009,705630,2095,2425,0.863917525773196
"88",2009,705701,366,532,0.68796992481203
"89",2009,715530,319,339,0.941002949852507
"90",2009,715600,296,310,0.954838709677419
"91",2009,715630,73210,79746,0.91803977628972
"92",2009,715700,1633,1875,0.870933333333333
"93",2009,715730,535,561,0.953654188948307
"94",2009,725630,103302,107497,0.960975655134562
"95",2009,725700,72198,73466,0.98274031524787
"96",2009,725730,15256,15436,0.988338947913967
"97",2009,735630,2723,2904,0.93767217630854
"98",2009,735700,52587,55271,0.951439271950933
"99",2009,735730,103291,104837,0.985253297976859
"100",2009,735800,38576,39426,0.978440622939177
"101",2009,735830,1167,1206,0.967661691542289
"102",2009,745800,36287,36656,0.989933435181144
"103",2009,745830,41300,41513,0.994869077156553
"104",2009,755830,9012,9189,0.980737838720209
"105",2009,765900,51,52,0.980769230769231
"106",2009,765930,29,33,0.878787878787879
"107",2010,665500,134,871,0.153846153846154
"108",2010,675500,5450,7239,0.752866418013538
"109",2010,675530,38270,44958,0.851238934116286
"110",2010,675600,17865,22472,0.79498932004272
"111",2010,675630,389,540,0.72037037037037
"112",2010,685530,374,599,0.624373956594324
"113",2010,685600,50421,55390,0.910290666185232
"114",2010,685630,1796,2288,0.784965034965035
"115",2010,705600,8564,9563,0.895534873993517
"116",2010,705630,32435,37173,0.872541898689909
"117",2010,715600,14789,15261,0.969071489417469
"118",2010,715630,133527,143146,0.93280287259162
"119",2010,715700,33470,34698,0.964608911176437
"120",2010,715730,251,258,0.972868217054264
"121",2010,725600,293,299,0.979933110367893
"122",2010,725630,69519,71071,0.978162682388034
"123",2010,725700,47550,48464,0.981140640475404
"124",2010,725730,3340,3387,0.986123413049897
"125",2010,735630,867,909,0.953795379537954
"126",2010,735700,28771,29365,0.979771837221182
"127",2010,735730,16725,17063,0.980191056672332
"128",2010,735800,24142,24656,0.979153147306944
"129",2010,745800,16538,16614,0.995425544721319
"130",2010,745830,11534,11622,0.992428153501979
"131",2011,675530,25881,29554,0.875719022805712
"132",2011,675600,46621,52534,0.887444321772566
"133",2011,675630,76,147,0.517006802721088
"134",2011,685600,103088,116645,0.883775558317973
"135",2011,685630,13212,17360,0.761059907834101
"136",2011,705600,444,454,0.977973568281938
"137",2011,715600,38,44,0.863636363636364
"138",2011,715630,56773,60879,0.932554739729628
"139",2011,715700,9454,10269,0.920634920634921
"140",2011,725630,87475,88881,0.984181096072276
"141",2011,725700,79190,80783,0.980280504561603
"142",2011,725730,38399,39037,0.983656530983426
"143",2011,725800,747,755,0.989403973509934
"144",2011,735630,14859,15581,0.953661510814453
"145",2011,735700,42612,43424,0.981300663227708
"146",2011,735730,95965,96833,0.991036113721562
"147",2011,735800,24808,25112,0.987894233832431
"148",2011,735830,2876,3002,0.958027981345769
"149",2011,745800,13514,13561,0.996534178895362
"150",2011,745830,25659,26454,0.969947833975958
"151",2011,755830,465,507,0.917159763313609
"152",2012,665530,989,1019,0.970559371933268
"153",2012,665600,1129,1163,0.970765262252794
"154",2012,675500,1898,2053,0.924500730638091
"155",2012,675530,45471,46597,0.975835354207352
"156",2012,675600,35291,35800,0.985782122905028
"157",2012,675630,985,995,0.989949748743719
"158",2012,685530,4630,4707,0.983641385171022
"159",2012,685600,21856,22119,0.988109769881098
"160",2012,685630,470,484,0.971074380165289
"161",2012,705600,20416,20754,0.98371398284668
"162",2012,705630,11722,12230,0.958462796402289
"163",2012,715600,3842,3894,0.986646122239343
"164",2012,715630,98786,100925,0.978806044092148
"165",2012,715700,50832,57008,0.89166432781364
"166",2012,725630,58234,58630,0.993245778611632
"167",2012,725700,71456,72291,0.988449461205406
"168",2012,725730,22613,26725,0.846136576239476
"169",2012,725800,2282,3436,0.664144353899884
"170",2012,725830,15,93,0.161290322580645
"171",2012,735630,8874,8980,0.988195991091314
"172",2012,735700,37795,38309,0.986582787334569
"173",2012,735730,21709,22003,0.98663818570195
"174",2012,735800,72309,85708,0.84366686890372
"175",2012,735830,15354,17248,0.890190166975881
"176",2012,745830,1549,1852,0.836393088552916
"177",2013,665600,70,70,1
"178",2013,675530,45,45,1
"179",2013,675600,2559,2595,0.986127167630058
"180",2013,675630,1182,1197,0.987468671679198
"181",2013,685530,194,224,0.866071428571429
"182",2013,685600,128909,132888,0.970057492023358
"183",2013,685630,62770,68095,0.921800425875615
"184",2013,705600,49,65,0.753846153846154
"185",2013,705630,428,450,0.951111111111111
"186",2013,715600,9,19,0.473684210526316
"187",2013,715630,107026,107855,0.992313754577905
"188",2013,715700,37087,37357,0.99277243890034
"189",2013,725600,13,13,1
"190",2013,725630,130302,130748,0.996588857955762
"191",2013,725700,87375,87949,0.993473490318253
"192",2013,725730,19624,20283,0.96750973721836
"193",2013,725800,934,994,0.939637826961771
"194",2013,735630,343,370,0.927027027027027
"195",2013,735700,18201,18380,0.990261153427639
"196",2013,735730,119526,121541,0.98342123234135
"197",2013,735800,45228,47111,0.960030566109826
"198",2013,735830,15944,17447,0.913853384536023
"199",2013,745700,355,422,0.841232227488152
"200",2013,745800,20232,20480,0.987890625
"201",2013,745830,28431,29891,0.951155866314275
"202",2013,745900,2211,2418,0.91439205955335
"203",2013,756000,797,1196,0.666387959866221
"204",2013,765830,9,9,1
"205",2013,766000,929,1412,0.657932011331445
"206",2013,775830,100,143,0.699300699300699
"207",2013,775930,267,268,0.996268656716418
"208",2013,785930,11188,11299,0.990176121780689
"209",2013,786000,476,483,0.985507246376812
"210",2013,786030,41,43,0.953488372093023
"211",2014,665600,468,482,0.970954356846473
"212",2014,675530,2483,2600,0.955
"213",2014,675600,83943,91851,0.913904040239083
"214",2014,675630,211,233,0.905579399141631
"215",2014,685530,379,396,0.957070707070707
"216",2014,685600,67168,72365,0.928183514129759
"217",2014,685630,35434,39701,0.892521598952167
"218",2014,705600,28,45,0.622222222222222
"219",2014,705630,5885,6006,0.97985347985348
"220",2014,715630,113505,116587,0.973564805681594
"221",2014,715700,69976,72529,0.964800286781839
"222",2014,715730,2110,2205,0.956916099773243
"223",2014,725630,54267,54418,0.997225182843912
"224",2014,725700,76875,77658,0.989917329830797
"225",2014,725730,76532,77488,0.987662605822837
"226",2014,725800,92,94,0.978723404255319
"227",2014,735630,542,542,1
"228",2014,735700,71689,72018,0.995431697631148
"229",2014,735730,73256,74541,0.982761164996445
"230",2014,735800,94301,100242,0.940733425111231
"231",2014,745800,19089,19360,0.986002066115703
"232",2014,745830,14863,14997,0.991064879642595
"233",2014,765930,23,23,1
"234",2014,775930,29177,29751,0.980706530872912
"235",2015,665530,2415,2626,0.91964965727342
"236",2015,665600,4595,5054,0.909180846853977
"237",2015,665630,152,161,0.944099378881988
"238",2015,675530,22263,22866,0.9736289687746
"239",2015,675600,124673,134535,0.926695655405657
"240",2015,675630,31146,35737,0.871533704563897
"241",2015,685530,6801,7189,0.946028654889414
"242",2015,685600,105493,116633,0.904486723311584
"243",2015,685630,146371,167131,0.875786060036738
"244",2015,695600,158,162,0.975308641975309
"245",2015,715630,25794,26983,0.955935218470889
"246",2015,715700,32935,35327,0.932289750049537
"247",2015,725600,630,642,0.981308411214953
"248",2015,725630,55311,55702,0.992980503393056
"249",2015,725700,39859,41080,0.970277507302824
"250",2015,725730,30615,31003,0.98748508208883
"251",2015,735700,7618,7793,0.977543949698447
"252",2015,735730,47025,47808,0.983621987951807
"253",2015,735800,46537,49767,0.935097554604457
"254",2015,735830,8366,8984,0.931211041852182
"255",2015,745830,3490,3575,0.976223776223776
"256",2015,755830,5260,6021,0.873609035044013
"257",2015,755900,64,69,0.927536231884058
"258",2015,765830,135,190,0.710526315789474
"259",2015,765900,11,17,0.647058823529412
"260",2015,775930,0,0,NA
"261",2015,776000,20,20,1
"262",2015,785930,3,6,0.5
"263",2016,665500,28,36,0.777777777777778
"264",2016,665530,31815,33191,0.958542978518273
"265",2016,665600,32561,35718,0.911613192228008
"266",2016,675500,739,782,0.945012787723785
"267",2016,675530,7125,7778,0.916045255849833
"268",2016,675600,78773,85330,0.923157154576351
"269",2016,675630,41527,43788,0.948364848817028
"270",2016,685530,1304,1484,0.878706199460916
"271",2016,685600,2940,3203,0.9178894786138
"272",2016,685630,62916,70440,0.893185689948893
"273",2016,715630,14907,15137,0.984805443614983
"274",2016,715700,35021,37697,0.929012918799905
"275",2016,725630,10603,10680,0.992790262172285
"276",2016,725700,49301,50977,0.96712242776154
"277",2016,725730,46779,48753,0.959510183988678
"278",2016,725800,21,21,1
"279",2016,735700,1374,1413,0.9723991507431
"280",2016,735730,40943,41210,0.993520990050959
"281",2016,735800,38585,39034,0.988497207562638
"282",2016,735830,790,805,0.981366459627329
"283",2016,745800,2074,2080,0.997115384615385
"284",2016,745830,1495,1712,0.873247663551402
"285",2016,745900,982,992,0.98991935483871
"286",2016,745930,219,220,0.995454545454545
"287",2016,755830,7971,8332,0.95667306769083
"288",2016,755900,39764,40212,0.988859047050632
"289",2016,755930,17995,18113,0.993485342019544
"290",2017,665530,30502,33445,0.912004783973688
"291",2017,665600,18649,20070,0.929197807673144
"292",2017,665630,1292,1438,0.898470097357441
"293",2017,675530,17236,18731,0.920185788265442
"294",2017,675600,48187,52308,0.921216639902118
"295",2017,675630,12519,13409,0.933626668655381
"296",2017,685530,846,939,0.900958466453674
"297",2017,685600,10347,11468,0.902249738402511
"298",2017,685620,534,548,0.974452554744526
"299",2017,685630,14004,14928,0.938102893890675
"300",2017,715630,20413,21431,0.952498716812095
"301",2017,715700,11408,12165,0.93777229757501
"302",2017,725600,167,179,0.932960893854749
"303",2017,725630,21993,23902,0.920132206509915
"304",2017,725700,46592,48544,0.959789057350033
"305",2017,725730,10588,11117,0.952415219933435
"306",2017,735700,4335,4483,0.966986393040375
"307",2017,735730,10155,10213,0.99432096347792
"308",2017,735800,26108,26287,0.993190550462206
"309",2017,735830,39,42,0.928571428571429
"310",2017,745800,22593,22686,0.995900555408622
"311",2017,745830,12038,12213,0.985671006304757
"312",2017,745900,243,243,1
"313",2017,745930,741,744,0.995967741935484
"314",2017,755830,4691,4859,0.965424984564725
"315",2017,755900,9598,9671,0.992451659600869
"316",2017,755930,4806,4833,0.994413407821229
"317",2017,756000,18,18,1
"318",2017,775930,27,28,0.964285714285714
"319",2017,785930,2043,2047,0.998045920859795
"320",2018,665530,212,257,0.824902723735409
"321",2018,675530,4350,5018,0.866879234754882
"322",2018,675600,4366,4811,0.907503637497402
"323",2018,685600,38194,40857,0.934821450424652
"324",2018,685630,1365,1391,0.981308411214953
"325",2018,705600,537,783,0.685823754789272
"326",2018,705630,169,339,0.498525073746313
"327",2018,715600,98,135,0.725925925925926
"328",2018,715630,27900,33247,0.839173459259482
"329",2018,715700,219,225,0.973333333333333
"330",2018,715730,246,324,0.759259259259259
"331",2018,725630,27126,28844,0.940438219387048
"332",2018,725700,44527,47245,0.942470102656366
"333",2018,725730,44634,46860,0.952496798975672
"334",2018,735700,6712,6837,0.981717127395056
"335",2018,735730,7402,7486,0.988779054234571
"336",2018,735800,19116,19260,0.992523364485981
"337",2018,735830,1638,1652,0.991525423728814
"338",2018,745800,3276,3301,0.992426537412905
"339",2018,745830,10193,10234,0.995993746335744
"340",2018,745900,2798,2804,0.997860199714693
"341",2018,745930,12915,13039,0.990490068256768
"342",2018,755900,3,4,0.75
"343",2018,755930,59851,60303,0.992504518846492
"344",2018,756000,10,10,1
"345",2018,765930,98,98,1
"346",2018,776000,13,13,1
"347",2018,776030,4,4,1
"348",2019,665600,177,216,0.819444444444444
"349",2019,675530,4922,5047,0.97523281157123
"350",2019,675600,29778,30444,0.978123768230193
"351",2019,685600,26599,27312,0.973894258933802
"352",2019,685630,1951,2032,0.960137795275591
"353",2019,705630,199,214,0.929906542056075
"354",2019,715600,921,977,0.942681678607984
"355",2019,715630,75768,82225,0.921471571906355
"356",2019,715700,30079,31969,0.940880227720604
"357",2019,715730,12965,13882,0.933943235844979
"358",2019,725630,26962,27964,0.964168216278072
"359",2019,725700,44396,46542,0.953891109105754
"360",2019,725730,1986,2056,0.965953307392996
"361",2019,725800,101,105,0.961904761904762
"362",2019,735730,55,55,1
"363",2019,735800,92,102,0.901960784313726
"364",2019,735830,3047,3102,0.982269503546099
"365",2019,735900,46,46,1
"366",2019,745800,0,0,NA
"367",2019,745830,13206,13443,0.982370006694934
"368",2019,745900,23098,23553,0.980681866428905
"369",2019,745930,68673,72974,0.941061199879409
"370",2019,755830,0,0,NA
"371",2019,755900,4778,4839,0.987394089687952
"372",2019,755930,110799,117152,0.945771305654193
"373",2019,756000,36153,39286,0.920251489080079
"374",2019,765830,0,9,0
"375",2019,765900,1,1,1
"376",2019,765930,1538,1552,0.990979381443299
"377",2019,766000,63004,67627,0.931639729693761
"378",2019,766030,67,68,0.985294117647059
"379",2019,775930,0,0,NA
"380",2019,785930,0,0,NA
"381",2020,675530,746,779,0.957637997432606
"382",2020,675600,10018,10193,0.982831354851369
"383",2020,675630,957,972,0.984567901234568
"384",2020,675700,43,52,0.826923076923077
"385",2020,685530,467,496,0.941532258064516
"386",2020,685600,7481,7596,0.984860452869932
"387",2020,685630,35138,35693,0.984450732636651
"388",2020,705600,100,145,0.689655172413793
"389",2020,705630,705,751,0.938748335552597
"390",2020,715600,997,1066,0.935272045028143
"391",2020,715630,304246,316190,0.962225244315127
"392",2020,715700,62612,64807,0.966130201984354
"393",2020,715730,113377,117295,0.966597041647129
"394",2020,715800,81495,84613,0.963149870587262
"395",2020,715830,4486,4966,0.903342730567861
"396",2020,725630,118429,122963,0.963127119540024
"397",2020,725700,106055,108956,0.973374573222218
"398",2020,725730,77426,81262,0.952794664172676
"399",2020,725800,54434,56019,0.971706028311823
"400",2020,725830,4979,5112,0.973982785602504
"401",2020,735730,22032,23431,0.940292774529469
"402",2020,735800,7429,7581,0.979949874686717
"403",2020,735830,1580,1608,0.982587064676617
"404",2020,745800,1625,1668,0.974220623501199
"405",2020,745830,3219,3253,0.989548109437442
"406",2020,755830,0,0,NA
"407",2020,755930,24855,25420,0.977773406766326
"408",2020,756000,13471,14307,0.941567065073041
"409",2020,765900,6,12,0.5
"410",2020,765930,2505,2511,0.997610513739546
"411",2020,766000,14728,14950,0.985150501672241
"412",2020,775900,13,25,0.52
"413",2021,715630,2279,2342,0.973099914602903
"414",2021,715700,2215,2304,0.961371527777778
"415",2021,715730,2209,2279,0.969284774023695
"416",2021,715800,108,110,0.981818181818182
"417",2021,725630,3563,3683,0.967417865870214
"418",2021,725700,15488,15958,0.97054768768016
"419",2021,725730,43734,44914,0.973727568241528
"420",2021,725800,66,76,0.868421052631579
"421",2021,725900,3,8,0.375
"422",2021,735700,187,208,0.899038461538462
"423",2021,735730,297,309,0.961165048543689
"424",2021,735800,212,230,0.921739130434783
"425",2021,735830,85,116,0.732758620689655
"426",2021,735900,8,8,1
"427",2021,745800,0,0,NA
"428",2021,745830,132,137,0.963503649635037
"429",2021,745900,3512,3537,0.992931863160871
"430",2021,745930,5380,5434,0.990062569009937
"431",2021,755830,0,0,NA
"432",2021,755900,72,76,0.947368421052632
"433",2021,755930,118633,119644,0.991549931463341
"434",2021,756000,8652,8923,0.96962904852628
"435",2021,765900,6920,6978,0.991688162797363
"436",2021,765930,28630,28854,0.992236778262979
"437",2021,766000,146770,150354,0.976162922170345
"438",2021,766030,1466,1486,0.986541049798116
"439",2021,775900,26629,26805,0.99343406080955
"440",2021,775930,31624,31730,0.996659312953041
"441",2021,776000,7449,7454,0.999329219211162
"442",2021,776030,13244,13271,0.997965488659483
"443",2021,785930,0,1,0
"444",2021,786000,15581,15619,0.997567065753249
"445",2021,786030,46273,46490,0.995332329533233
"446",2022,665530,543,658,0.825227963525836
"447",2022,725700,70,73,0.958904109589041
"448",2022,725730,367,371,0.98921832884097
"449",2022,735700,7072,7341,0.963356490941289
"450",2022,735730,14634,14868,0.984261501210654
"451",2022,735830,32,37,0.864864864864865
"452",2022,745730,3910,3938,0.992889791772473
"453",2022,745830,237,299,0.792642140468227
"454",2022,745900,430,439,0.979498861047836
"455",2022,745930,6722,6746,0.996442336199229
"456",2022,755900,1,1,1
"457",2022,755930,23314,23415,0.995686525731369
"458",2022,756000,236,236,1
"459",2022,765900,6619,6838,0.967973091547236
"460",2022,765930,2349,2378,0.98780487804878
"461",2022,766000,3576,3580,0.998882681564246
"462",2022,775900,0,0,NA
"463",2022,775930,3,3,1
"464",2022,776000,1234,1234,1
"465",2022,776030,61,61,1
"466",2022,786000,576,686,0.839650145772595
"467",2022,786030,19480,19749,0.986379057167452
